,0,1,2
199,65.0,85.0,1.6
200,65.0,72.0,1.0
201,65.0,70.0,1.0
202,65.0,54.0,1.0
203,65.0,38.0,1.6
204,64.0,113.0,1.0
205,64.0,105.0,1.0
206,64.0,96.0,1.6
207,64.0,76.0,1.0
208,64.0,46.0,1.0
209,64.0,0.0,1.6
210,63.0,60.0,1.0
211,63.0,29.0,1.0
212,63.0,14.0,1.0
213,62.0,24.0,1.0
214,61.0,120.0,1.6
215,61.0,110.0,1.0
216,61.0,11.0,1.0
217,60.0,126.0,1.0
218,60.0,67.0,1.0
219,60.0,49.0,1.0
220,60.0,3.0,1.0
221,59.0,116.0,1.0
222,59.0,100.0,1.0
223,59.0,89.0,1.0
224,59.0,74.0,1.6
225,59.0,57.0,1.0
226,58.0,62.0,1.0
227,58.0,44.0,1.6
228,58.0,35.0,1.6
229,58.0,30.0,1.6
230,58.0,21.0,1.0
231,57.0,112.0,1.0
232,57.0,82.0,1.0
233,57.0,14.0,1.0
234,56.0,108.0,1.0
235,56.0,88.0,1.0
236,56.0,25.0,1.6
237,55.0,67.0,1.0
238,55.0,8.0,1.0
239,55.0,0.0,1.6
240,54.0,96.0,1.6
241,54.0,62.0,1.0
242,54.0,44.0,1.6
243,54.0,4.0,1.0
244,53.0,121.0,1.6
245,53.0,85.0,1.0
246,53.0,70.0,1.0
247,53.0,54.0,1.6
248,53.0,20.0,1.0
249,52.0,104.0,1.6
250,52.0,81.0,1.0
251,52.0,76.0,1.6
252,51.0,89.0,1.6
253,51.0,35.0,1.0
254,51.0,13.0,1.0
255,51.0,7.0,1.0
256,49.0,21.0,1.0
257,48.0,111.0,1.0
258,48.0,108.0,1.6
259,48.0,67.0,1.6
260,48.0,44.0,1.0
261,48.0,28.0,1.6
262,47.0,117.0,1.0
263,47.0,60.0,1.0
264,47.0,0.0,1.0
265,46.0,80.0,1.0
266,46.0,74.0,1.0
267,46.0,41.0,1.0
268,46.0,15.0,1.6
269,45.0,53.0,1.6
270,45.0,23.0,1.0
271,44.0,103.0,1.0
272,44.0,98.0,1.0
273,44.0,95.0,1.0
274,44.0,70.0,1.0
275,43.0,83.0,1.0
276,43.0,20.0,1.0
277,42.0,57.0,1.0
278,42.0,47.0,1.0
279,41.0,121.0,1.0
280,41.0,118.0,1.0
281,41.0,93.0,1.0
282,41.0,80.0,1.0
283,41.0,42.0,1.0
284,41.0,35.0,1.6
285,41.0,31.0,1.0
286,41.0,4.0,1.6
287,40.0,123.0,1.6
288,40.0,106.0,1.0
289,40.0,98.0,1.0
290,39.0,72.0,1.0
291,39.0,51.0,1.0
292,38.0,115.0,1.0
293,38.0,102.0,1.0
294,38.0,85.0,1.0
295,38.0,56.0,1.0
296,38.0,22.0,1.0
297,37.0,47.0,1.0
298,37.0,36.0,1.6
299,37.0,11.0,1.6
300,36.0,96.0,1.0
301,36.0,92.0,1.0
302,36.0,63.0,1.6
303,36.0,42.0,1.0
304,36.0,28.0,1.0
305,35.0,126.0,1.0
306,35.0,85.0,1.6
307,35.0,75.0,1.6
308,35.0,53.0,1.0
309,34.0,34.0,1.6
310,34.0,4.0,1.0
311,33.0,46.0,1.0
312,33.0,15.0,1.0
313,32.0,9.0,1.0
314,32.0,0.0,1.6
315,31.0,110.0,1.6
316,31.0,104.0,1.0
317,30.0,117.0,1.0
318,30.0,88.0,1.0
319,30.0,71.0,1.0
320,30.0,59.0,1.6
321,30.0,54.0,1.0
322,30.0,41.0,1.0
323,29.0,97.0,1.6
324,29.0,78.0,1.0
325,29.0,24.0,1.6
326,28.0,123.0,1.6
327,28.0,90.0,1.0
328,27.0,82.0,1.6
329,27.0,72.0,1.0
330,27.0,66.0,1.0
331,27.0,9.0,1.0
332,26.0,15.0,1.6
333,26.0,3.0,1.0
334,25.0,52.0,1.0
335,25.0,42.0,1.0
336,24.0,98.0,1.0
337,24.0,45.0,1.0
338,24.0,32.0,1.6
339,24.0,20.0,1.0
340,23.0,114.0,1.0
341,23.0,107.0,1.6
342,23.0,71.0,1.0
343,23.0,66.0,1.0
344,22.0,117.0,1.0
345,22.0,93.0,1.0
346,22.0,55.0,1.0
347,22.0,40.0,1.0
348,22.0,25.0,1.6
349,22.0,9.0,1.0
350,21.0,126.0,1.6
351,21.0,76.0,1.6
352,19.0,124.0,1.0
353,19.0,47.0,1.0
354,18.0,100.0,1.0
355,18.0,41.0,1.0
356,18.0,28.0,1.0
357,18.0,5.0,1.0
358,17.0,104.0,1.0
359,17.0,16.0,1.0
360,16.0,33.0,1.0
361,15.0,114.0,1.6
362,15.0,87.0,1.0
363,15.0,50.0,1.0
364,15.0,24.0,1.0
365,15.0,0.0,1.0
366,14.0,120.0,1.6
367,14.0,37.0,1.0
368,13.0,68.0,1.0
369,13.0,42.0,1.0
370,13.0,5.0,1.0
371,12.0,124.0,1.0
372,12.0,92.0,1.0
373,12.0,80.0,1.0
374,12.0,11.0,1.6
375,11.0,105.0,1.6
376,11.0,17.0,1.0
377,10.0,121.0,1.0
378,10.0,79.0,1.6
379,10.0,63.0,1.0
380,10.0,53.0,1.0
381,10.0,44.0,1.0
382,10.0,21.0,1.6
383,9.0,124.0,1.0
384,8.0,109.0,1.0
385,8.0,96.0,1.0
386,8.0,74.0,1.0
387,8.0,70.0,1.0
388,8.0,41.0,1.0
389,8.0,27.0,1.0
390,7.0,49.0,1.0
391,7.0,37.0,1.0
392,6.0,68.0,1.0
393,6.0,45.0,1.0
394,5.0,126.0,1.0
395,5.0,115.0,1.6
396,5.0,92.0,1.0
397,5.0,87.0,1.6
398,5.0,54.0,1.0
399,5.0,19.0,1.0
400,5.0,13.0,1.0
401,5.0,4.0,1.0
402,4.0,122.0,1.0
403,4.0,100.0,1.0
404,3.0,110.0,1.0
405,2.0,41.0,1.0
406,2.0,3.0,1.6
407,1.0,100.0,1.0
408,1.0,75.0,1.6
409,1.0,57.0,1.6
410,1.0,35.0,1.0
411,1.0,12.0,1.0
412,0.0,123.0,1.0
413,0.0,106.0,1.6
414,0.0,79.0,1.6
415,0.0,46.0,1.0
416,0.0,28.0,1.6
417,0.0,19.0,1.6
